feed,weight,,,,,
horsebean,179,,,,,
horsebean,160,,Food Type,Min weight,Max weight,Mean weight
horsebean,136,,Casein,216,404,323.58
horsebean,227,,Horsebean,108,227,160.20
horsebean,217,,Linseed,141,309,218.75
horsebean,168,,Meatmeal,153,380,276.91
horsebean,108,,Soybean,158,329,246.43
horsebean,124,,Sunflower,226,423,328.92
horsebean,143,,,,,
horsebean,140,,,,,
linseed,309,,,,,
linseed,229,,,,,
linseed,181,,,,,
linseed,141,,,,,
linseed,260,,,,,
linseed,203,,,,,
linseed,148,,,,,
linseed,169,,,,,
linseed,213,,,,,
linseed,257,,,,,
linseed,244,,,,,
linseed,271,,,,,
soybean,243,,,,,
soybean,230,,,,,
soybean,248,,,,,
soybean,327,,,,,
soybean,329,,,,,
soybean,250,,,,,
soybean,193,,,,,
soybean,271,,,,,
soybean,316,,,,,
soybean,267,,,,,
soybean,199,,,,,
soybean,171,,,,,
soybean,158,,,,,
soybean,248,,,,,
sunflower,423,,,,,
sunflower,340,,,,,
sunflower,392,,,,,
sunflower,339,,,,,
sunflower,341,,,,,
sunflower,226,,,,,
sunflower,320,,,,,
sunflower,295,,,,,
sunflower,334,,,,,
sunflower,322,,,,,
sunflower,297,,,,,
sunflower,318,,,,,
meatmeal,325,,,,,
meatmeal,257,,,,,
meatmeal,303,,,,,
meatmeal,315,,,,,
meatmeal,380,,,,,
meatmeal,153,,,,,
meatmeal,263,,,,,
meatmeal,242,,,,,
meatmeal,206,,,,,
meatmeal,344,,,,,
meatmeal,258,,,,,
casein,368,,,,,
casein,390,,,,,
casein,379,,,,,
casein,260,,,,,
casein,404,,,,,
casein,318,,,,,
casein,352,,,,,
casein,359,,,,,
casein,216,,,,,
casein,222,,,,,
casein,283,,,,,
casein,332,,,,,